index,公司,摘要,日期,媒体,强悲观,弱悲观,中性,弱乐观,强乐观
22858,东吴证券,包揽北交所头两家过会项目!这家券商有何秘籍?新一轮配股将...2021年12月10日  作为服务中介，东吴证券以保荐代表人、财务、法律、行业人员组成的团队为企业提供专业化财务顾问和产业对接服务，梳理商业模式、设计股权结构、挖掘企业价值，不管在企业挂牌前后,12月10日,和讯网,0,0,1,0,0
22859,东吴证券,"东吴证券大事件!最贵经济学家任泽平确认加盟,“任、陈、丁...2021年3月18日  未来东吴证券将进一步打造研究品牌，形成任泽平、陈李、丁文韬“三驾马车”发力格局。丁文韬，东吴证券总裁助理。毕业于上海财经大学，曾任职于普华永道精算部、太平洋安泰人寿精算",3月18日,百家号,0,0,0.6,0.4,0
22860,东吴证券,东吴证券:证券新一代交易系统A5充分体现了科技赋能行业发...2021年1月20日  东吴证券联合顶点软件共同研发打造的证券新一代交易系统A5正是契合当前科技发展新形势，满足行业发展新要求的最为前沿的核心交易系统，是行业交易系统改革的标,1月20日,百家号,0,0.05,0.3,0.6,0.05
22861,东吴证券,东吴证券研究报告:市场化改革驱动长期价值提升2021年12月4日  我们按照杜邦分析公式对东吴证券的加权 ROE 进行拆分，2021 前三季度东吴 证券的加权 ROE 为 6.72%，同比增加 0.82 个百分点，加权 ROA1.76%，同比增加 0.29 个百分点，杠杆倍数 2,12月4日,财是,0,0,0.4,0.6,0
22862,东吴证券,...16起未决诉讼涉13.14亿减值准备 东吴证券信用业务募投...三年信用减值损失8.9亿元 16起未决诉讼涉13.14亿减值准备 东吴证券信用业务募投项目为“填坑”？近日，网红经济学家刘胜军在自媒体发文抨击东吴证券首席经济学家任泽平一事引,,和讯网,0,0.6,0.4,0,0
22863,东吴证券,"力推财富管理转型,东吴证券上半年“财富答卷”如何? - 财...2021年8月15日  财联社（上海，记者 刘超凤）讯，8月13日，东吴证券发布半年报，实现营业收入40.71亿元，同比上升13.43%；实现归属于母公司股东的净利润13.36亿元，同比上升29",8月15日,财联社,0,0,0.3,0.6,0.1
22864,东吴证券,"东吴证券迎“75后”总裁,从设立并购母基金到股权激励,公司...2021年3月17日  东吴证券迎“75后”总裁，从设立并购母基金到股权激励，公司近期动作不断，苏州金融业正被寄予厚望 财联社（上海，记者 刘超凤）讯，东吴证券迎“75后”总裁。据财联社记者获悉，薛",3月17日,证券之星,0,0,0.3,0.6,0.1
22865,东吴证券,"负责的债券项目亏损上亿,东吴证券拒绝给投资经理补发绩效,...2021年3月3日  裁判文书网日前披露的一则判决书显示，在一审被判向前员工王明明补发绩效奖金后，东吴证券向上海市第一中级人民法院提起上诉，认为王明明作为投资经理，负责的债券投资项目给公司造",3月3日,界面新闻,0.6,0.3,0.1,0,0
22866,东吴证券,东吴证券财富管理业务成色不足 转型路上存在诸多短板 - 和...2021年8月20日  东吴证券财报显示，经纪及财富管理业务主要是代理客户买卖股票、基金、债券、期货等，通过提供专业化研究服务，协助投资者作出投资决策。报告期内，经纪及财富管理业务实现营业收入,8月20日,和讯网,0,0.6,0.3,0.1,0
22867,东吴证券,东吴证券将花不超5.12亿元回购公司股份 用于股权激励计划 ...2021年3月9日  东吴证券将花不超5.12亿元回购公司股份 用于股权激励计划 来源：挖贝网 挖贝网3月9日，东吴证券（证券代码：601555）近日发布公告称公司以集中竞价交易的方式回,3月9日,百家号,0,0.1,0.3,0.6,0
22868,东吴证券,"东吴证券,配股完成,中小券商里的战斗机2021年12月24日  东吴证券配股完成。体现公司控股股东和中小股东看好东吴证券的发展，积极参与配股。充实资本，应对行业的互联 网金融化趋势，未来将成为公司的重要战略之一。随着与互联网融合 的",12月24日,百家号,0,0,0.3,0.6,0.1
22869,东吴证券,"东吴证券:科大讯飞业务营收稳步增长,维持“买入”评级 - ...来源：钥城网 9月8日，东吴证券发布研究报告称，科大讯飞上半年业绩符合市场预期，“双减”政策利好，智慧教育业务迎来发展机遇，维持“买入”评级。报告称，“双减”意见旨在形成结构优化、集约",9月8日,百家号,0,0,0.3,0.6,0.1
22870,东吴证券,"东吴证券坚持走服务中小企业、服务长三角一体化的特色之路距离北交所开市将近一个月,截至目前,北交所上市委目前的两个过会项目全部花落东吴证券。据了解,东吴证券是首批开展新三板业务的券商之一,也是为数不多在新三板领域坚守和持续",,新浪财经,0,0,0.3,0.6,0.1
22871,东吴证券,"10年5轮融资或达260亿,市值345亿的东吴证券到底多缺钱?而领跌一众券商股的，正是前一日晚间抛出85亿元配股方案的东吴证券。被配股“吓坏”后，东吴证券收盘报跌5.42%，收盘价为8.9元/股，总市值345亿元。也意味着，配股募资金额接近总市值的25%。9日晚",,环球老虎财经,0.1,0.3,0.5,0.1,0
22872,东吴证券,"东吴证券首席战略官丁文韬:循序渐进打造研究平台,大胆出击...2021年6月15日  ▲东吴证券总裁助理、首席战略官丁文韬 转型卖方研究6年，部门年收入从最初的千万级快速增长至近3亿，东吴证券研究所成为近年行业内的又一匹黑马，而东吴证券总裁助理、首席战略官",6月15日,券商中国,0,0,0.3,0.6,0.1
22873,东吴证券,"引进最贵经济学家任泽平,东吴证券近期大动作不断 - 新浪财经2021年3月19日  据多家媒体确认，恒大集团首席经济学家任泽平已于3月18日正式入职东吴证券，任首席经济学家。3月19日早间，任泽平发表了一份“致谢信”以感谢一路上的师友，从人大清华到国务院发展",3月19日,百家号,0,0,0.6,0.4,0
22874,东吴证券,"实施股权激励,东吴证券“闪电”回购968万股,已达下限一半,...实施股权激励，东吴证券“闪电”回购968万股，已达下限一半，距离推出回购计划仅隔4个交易日 财联社（上海，记者 刘超凤）讯，进入2021年，又一家券商发出股票回购计划用以股权激励，证券行业越来",,证券之星,0,0.15,0.7,0.15,0
22875,东吴证券,东吴证券股份有限公司关于 江苏北人智能制造科技股份有限...2021年12月30日  东吴证券股份有限公司关于 江苏北人智能制造科技股份有限公司 2021年度持续督导工作现场检查报告 「本文来源：证券日报」根据《上海证券交易所科创板股票上市规则》等有关法律、法,12月30日,百家号,0.1,0.15,0.4,0.2,0.15
22876,东吴证券,"五年后重回券业,任泽平“东吴”首秀:未来最好的投资机会就...2021年4月7日  五年后重回券业，任泽平“东吴”首秀：未来最好的投资机会就在中国，七大改革开启新周期 从任泽平到吴晓波，东吴证券牵手财经自媒体，力求打造以专业财经知识传播为主导的互联网财富",4月7日,证券之星,0,0,0.6,0.3,0.1
22877,东吴证券,东吴证券大事件:任泽平确认加盟 任、陈、丁三驾马车格局正...2021年3月18日  东吴证券大事件！最贵经济学家任泽平确认加盟，“任、陈、丁三驾马车”格局正成，研究发力早见端倪 财联社（上海，记者 王可）讯，“网红经济学家”、“最贵经,3月18日,新浪财经,0,0,0.6,0.4,0
22878,东吴证券,"券商战略布局北交所:新三板挂牌家数行业第五,东吴证券正“...2021年11月16日  券商战略布局北交所：新三板挂牌家数行业第五，东吴证券正“兑现”业务积累，推动保荐业务稳步向前 财联社（上海，记者 刘超凤）讯，北交所于11月15日正式开",11月16日,财联社,0,0.2,0.5,0.3,0
